book_isbn,reader_username,percentage_read,start_read_date,end_read_date
1-02-841081-6,6,41,2014-01-03,
0-19-277520-0,9,71,2004-06-20,
1-262-00918-9,6,61,1989-09-11,
1-72819-592-6,1,35,2000-01-08,
1-924351-19-6,2,46,2015-12-28,
1-286-25466-3,3,69,2019-09-27,
1-286-25466-3,10,55,1996-05-07,
0-7638-6908-2,4,44,2012-02-06,
1-262-00918-9,3,91,1989-05-31,
0-7638-6908-2,6,97,2014-05-06,
1-262-00918-9,9,10,2010-05-09,
1-72819-592-6,7,77,2006-08-14,
1-151-03241-7,8,74,2000-02-24,
0-19-277520-0,9,10,1986-12-05,
1-02-841081-6,4,8,1975-01-13,
1-5330-8171-9,3,52,1972-01-05,
0-7638-6908-2,10,13,2007-11-11,
0-7638-6908-2,7,8,1976-04-05,
0-19-277520-0,5,77,1997-10-11,
1-924351-19-6,6,38,1996-01-13,
1-5330-8171-9,2,47,1983-01-22,
1-262-00918-9,4,76,1974-07-19,
1-5132-0782-2,4,83,2014-08-09,
0-19-277520-0,7,63,1989-08-18,
1-02-841081-6,6,83,1981-11-27,
1-02-841081-6,7,11,1982-05-19,
1-151-03241-7,5,85,1999-07-29,
0-19-277520-0,9,51,1973-12-12,
1-286-25466-3,1,92,1990-11-30,
1-262-00918-9,5,81,1977-01-21,
